rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
1,Black|Purple|Red|Yellow,#080A0D|#6C47B2|#E72F1D|#FFE800,30.5811,23.2494,21.8233,20.9383,20.2019,61.5220,22.0938
2,Black|Purple|Lime Green|Red,#080A0D|#6C47B2|#D5D701|#E72F1D,30.7925,23.4640,22.0242,21.0766,20.0814,62.0999,22.2703
3,Blue|Purple|Red|Yellow,#003776|#6C47B2|#E72F1D|#FFE800,27.9685,23.5368,22.2817,21.2800,20.2727,63.4245,22.4084
4,Blue|Purple|Lime Green|Red,#003776|#6C47B2|#D5D701|#E72F1D,28.4376,24.0947,22.9117,21.9080,20.6952,62.8420,23.0014
5,Brown|Purple|Red|Yellow,#55331A|#6C47B2|#E72F1D|#FFE800,30.9296,24.4641,22.9345,21.8349,20.8200,68.2769,23.1495
6,Dark Grey|Purple|Red|Yellow,#485259|#6C47B2|#E72F1D|#FFE800,28.9777,24.3152,23.0271,22.0488,21.1070,61.6658,23.1820
7,Brown|Purple|Lime Green|Red,#55331A|#6C47B2|#D5D701|#E72F1D,31.0785,24.6078,23.1052,21.9771,20.7042,66.6764,23.2924
8,Dark Grey|Purple|Lime Green|Red,#485259|#6C47B2|#D5D701|#E72F1D,29.3004,24.6185,23.3484,22.3382,21.1462,62.1749,23.4784
9,Purple|Red|Magenta|Yellow,#6C47B2|#E72F1D|#F24574|#FFE800,28.9332,24.8397,23.6935,22.6988,21.5643,71.6055,23.7693
10,Dark Olive Drab|Purple|Red|Yellow,#575B54|#6C47B2|#E72F1D|#FFE800,29.6498,24.8990,23.6013,22.6427,21.7325,61.9999,23.7709
11,Purple|Red|Pink|Yellow,#6C47B2|#E72F1D|#F1A1AF|#FFE800,28.9725,24.9025,23.7631,22.7415,21.5305,73.1218,23.8220
12,Purple|Cold White|Red|Yellow,#6C47B2|#D9DFE5|#E72F1D|#FFE800,28.9226,24.9094,23.8075,22.8431,21.6701,71.3582,23.8763
13,Purple|Grey|Red|Yellow,#6C47B2|#8C9099|#E72F1D|#FFE800,28.6863,24.9378,23.8764,22.9030,21.7463,66.5828,23.9204
14,Purple|Red|Orange|Yellow,#6C47B2|#E72F1D|#F67405|#FFE800,28.8044,25.0181,23.8537,22.8320,21.7133,70.9395,23.9250
15,Purple|Tan|Red|Yellow,#6C47B2|#A79E82|#E72F1D|#FFE800,28.7710,24.9603,23.8867,22.9271,21.8043,68.1508,23.9437
16,Purple|Red|White|Yellow,#6C47B2|#E72F1D|#EBF7FF|#FFE800,29.0281,25.0041,23.9025,22.9102,21.6607,72.3932,23.9571
17,Green|Purple|Red|Yellow,#06924D|#6C47B2|#E72F1D|#FFE800,28.4509,24.8481,23.9306,23.2207,22.4705,64.0091,24.0344
18,Dark Olive Drab|Purple|Lime Green|Red,#575B54|#6C47B2|#D5D701|#E72F1D,30.0044,25.2163,23.9034,22.8611,21.6582,62.7677,24.0387
19,Purple|Lime Green|Red|Yellow,#6C47B2|#D5D701|#E72F1D|#FFE800,29.1724,25.1896,24.0708,23.0654,21.8658,70.4741,24.1275
20,Purple|Tan|Lime Green|Red,#6C47B2|#A79E82|#D5D701|#E72F1D,29.1437,25.3579,24.2980,23.2705,21.8890,66.1693,24.3142
21,Purple|Lime Green|Red|Magenta,#6C47B2|#D5D701|#E72F1D|#F24574,29.3843,25.3956,24.2896,23.2634,21.8920,68.0876,24.3295
22,Purple|Grey|Lime Green|Red,#6C47B2|#8C9099|#D5D701|#E72F1D,29.1693,25.4165,24.3546,23.3380,21.9365,65.6473,24.3772
23,Polymaker Teal|Purple|Red|Yellow,#4CC0C7|#6C47B2|#E72F1D|#FFE800,28.9196,25.3384,24.3637,23.4323,22.2289,65.9400,24.3853
24,Purple|Lime Green|Red|Pink,#6C47B2|#D5D701|#E72F1D|#F1A1AF,29.4165,25.4600,24.3622,23.3270,21.9053,68.4115,24.3935
25,Purple|Lime Green|Cold White|Red,#6C47B2|#D5D701|#D9DFE5|#E72F1D,29.4202,25.4997,24.4123,23.3828,21.9489,68.8332,24.4412
26,Purple|Lime Green|Red|Orange,#6C47B2|#D5D701|#E72F1D|#F67405,29.1795,25.5452,24.4333,23.3695,22.0010,67.0925,24.4574
27,Green|Purple|Lime Green|Red,#06924D|#6C47B2|#D5D701|#E72F1D,28.9858,25.3575,24.4343,23.6577,22.5989,64.2765,24.5076
28,Purple|Lime Green|Red|White,#6C47B2|#D5D701|#E72F1D|#EBF7FF,29.4481,25.5916,24.5350,23.5212,22.0956,68.4186,24.5564
29,Green|Black|Purple|Red,#06924D|#080A0D|#6C47B2|#E72F1D,32.0877,25.5091,24.4100,23.6102,22.3725,76.5022,24.5597
30,Black|Purple|Lime Green|Magenta,#080A0D|#6C47B2|#D5D701|#F24574,35.2262,26.0569,24.3658,23.1803,21.7308,64.6606,24.6186
31,Polymaker Teal|Purple|Lime Green|Red,#4CC0C7|#6C47B2|#D5D701|#E72F1D,29.2787,25.6929,24.7279,23.7655,22.3627,64.5294,24.7292
32,Black|Purple|Magenta|Yellow,#080A0D|#6C47B2|#F24574|#FFE800,35.5490,26.3709,24.7189,23.6244,22.1182,70.4899,24.9976
33,Green|Brown|Purple|Red,#06924D|#55331A|#6C47B2|#E72F1D,31.9923,26.1691,25.0990,24.2934,23.0347,76.5097,25.2312
34,Blue|Purple|Magenta|Yellow,#003776|#6C47B2|#F24574|#FFE800,31.6470,26.8020,25.4617,24.3207,22.6465,71.3322,25.5614
35,Blue|Purple|Lime Green|Magenta,#003776|#6C47B2|#D5D701|#F24574,31.6333,26.9304,25.6513,24.4682,22.8029,64.8117,25.6993
