rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
1,Blue|Polymaker Teal|Olive Green|Pink,#003776|#4CC0C7|#948902|#F1A1AF,27.7712,18.2707,14.0811,10.3974,7.7461,49.4752,14.3341
2,Blue|Polymaker Teal|Olive Green|Cold White,#003776|#4CC0C7|#948902|#D9DFE5,28.8140,18.8364,14.1758,10.0372,7.1404,53.0533,14.4368
3,Blue|Green|Olive Green|Cold White,#003776|#06924D|#948902|#D9DFE5,28.8043,19.1984,14.5392,10.2286,6.9791,50.7584,14.7135
4,Blue|Polymaker Teal|Tan|Cold White,#003776|#4CC0C7|#A79E82|#D9DFE5,24.2137,18.1844,15.0445,11.8271,8.9872,40.9777,15.0058
5,Blue|Azure Blue|Polymaker Teal|Tan,#003776|#0066D9|#4CC0C7|#A79E82,24.3203,18.3254,15.3207,12.2226,9.3895,39.4109,15.2740
6,Blue|Polymaker Teal|Tan|Magenta,#003776|#4CC0C7|#A79E82|#F24574,24.6784,18.4840,15.3686,12.1786,9.3054,40.8192,15.3313
7,Blue|Polymaker Teal|Olive Green|Magenta,#003776|#4CC0C7|#948902|#F24574,28.6157,19.3184,15.1241,11.3545,8.4541,48.2919,15.3365
8,Blue|Polymaker Teal|Tan|Red,#003776|#4CC0C7|#A79E82|#E72F1D,24.4323,18.4857,15.4584,12.3413,9.5059,44.4768,15.4135
9,Blue|Polymaker Teal|Tan|Pink,#003776|#4CC0C7|#A79E82|#F1A1AF,24.6489,18.5912,15.4944,12.3362,9.4827,41.5076,15.4637
10,Blue|Brown|Tan|Cold White,#003776|#55331A|#A79E82|#D9DFE5,24.6727,18.7159,15.5981,12.3934,9.4504,42.6708,15.5547
11,Blue|Polymaker Teal|Tan|White,#003776|#4CC0C7|#A79E82|#EBF7FF,24.4691,18.6556,15.7045,12.7602,10.1166,40.4209,15.7079
12,Blue|Azure Blue|Tan|Cold White,#003776|#0066D9|#A79E82|#D9DFE5,24.6194,18.8833,15.8220,12.6692,9.7917,41.3952,15.7762
13,Blue|Polymaker Teal|Grey|Tan,#003776|#4CC0C7|#8C9099|#A79E82,24.4935,18.7760,15.9018,12.8690,9.9628,40.6538,15.8225
14,Blue|Tan|Cold White|Red,#003776|#A79E82|#D9DFE5|#E72F1D,24.8764,19.0243,15.8801,12.6422,9.7211,42.5610,15.8332
15,Blue|Purple|Tan|Cold White,#003776|#6C47B2|#A79E82|#D9DFE5,24.7136,18.9597,15.8950,12.7115,9.7927,41.6661,15.8356
16,Blue|Tan|Cold White|Pink,#003776|#A79E82|#D9DFE5|#F1A1AF,24.8249,18.9752,15.8754,12.6990,9.8164,42.0559,15.8371
17,Blue|Tan|Cold White|Orange,#003776|#A79E82|#D9DFE5|#F67405,24.7720,18.9833,15.8948,12.7152,9.8388,42.8789,15.8493
18,Blue|Tan|Cold White|Magenta,#003776|#A79E82|#D9DFE5|#F24574,24.7543,18.9783,15.8913,12.7471,9.8784,41.4990,15.8627
19,Blue|Polymaker Teal|Tan|Orange,#003776|#4CC0C7|#A79E82|#F67405,24.9436,18.9481,15.9289,12.8285,9.9466,47.5862,15.8883
20,Blue|Polymaker Teal|Olive Green|Red,#003776|#4CC0C7|#948902|#E72F1D,27.9236,19.5655,15.7508,12.2523,9.5280,47.2863,15.9089
21,Azure Blue|Dark Grey|Polymaker Teal|Tan,#0066D9|#485259|#4CC0C7|#A79E82,22.3652,18.1344,16.1549,13.8917,11.4447,35.8892,16.0131
22,Blue|Polymaker Teal|Tan|Yellow,#003776|#4CC0C7|#A79E82|#FFE800,25.2871,19.3036,16.2677,13.1678,10.2602,47.4000,16.2357
23,Blue|Polymaker Teal|Tan|Lime Green,#003776|#4CC0C7|#A79E82|#D5D701,25.2641,19.2995,16.3008,13.2207,10.3099,47.3013,16.2601
24,Blue|Polymaker Teal|Brown|Tan,#003776|#4CC0C7|#55331A|#A79E82,25.3189,19.3655,16.3549,13.2780,10.3695,47.1212,16.3217
25,Blue|Green|Cold White|Red,#003776|#06924D|#D9DFE5|#E72F1D,28.0549,20.3971,16.3778,12.3214,8.9452,55.1828,16.3592
26,Blue|Green|Polymaker Teal|Tan,#003776|#06924D|#4CC0C7|#A79E82,25.2827,19.3954,16.4281,13.3880,10.4866,47.2280,16.3917
27,Blue|Black|Polymaker Teal|Tan,#003776|#080A0D|#4CC0C7|#A79E82,25.2827,19.3954,16.4281,13.3880,10.4866,47.2280,16.3917
28,Blue|Polymaker Teal|Olive Green|Tan,#003776|#4CC0C7|#948902|#A79E82,25.2827,19.3954,16.4281,13.3880,10.4866,47.2280,16.3917
29,Blue|Polymaker Teal|Dark Olive Drab|Tan,#003776|#4CC0C7|#575B54|#A79E82,25.3534,19.5233,16.5260,13.3765,10.4553,48.7081,16.4499
30,Blue|Polymaker Teal|Purple|Tan,#003776|#4CC0C7|#6C47B2|#A79E82,26.0239,19.4980,16.4309,13.4174,10.6795,44.3621,16.4577
31,Blue|Green|Tan|Cold White,#003776|#06924D|#A79E82|#D9DFE5,26.5388,20.1441,16.5717,12.7857,9.3959,49.4785,16.4649
32,Blue|Azure Blue|Green|Tan,#003776|#0066D9|#06924D|#A79E82,25.9728,19.7379,16.5664,13.2709,10.1905,46.8138,16.5044
33,Blue|Dark Grey|Polymaker Teal|Tan,#003776|#485259|#4CC0C7|#A79E82,25.3275,19.6307,16.6924,13.5232,10.4907,46.9102,16.5769
34,Azure Blue|Dark Grey|Lime Green|Red,#0066D9|#485259|#D5D701|#E72F1D,24.6320,19.1487,16.6652,14.0940,11.6454,46.5752,16.6213
35,Azure Blue|Dark Grey|Lime Green|Magenta,#0066D9|#485259|#D5D701|#F24574,24.7313,19.2347,16.7483,14.1493,11.7281,47.2152,16.6920
