rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
1,Dark Grey|Brown|Tan|Red,#485259|#55331A|#A79E82|#E72F1D,15.2072,6.6484,4.7861,3.6674,3.1518,24.8966,5.1579
2,Brown|Dark Olive Drab|Tan|Red,#55331A|#575B54|#A79E82|#E72F1D,14.5843,6.5788,4.8073,3.7452,3.1962,25.0141,5.1620
3,Brown|Dark Olive Drab|Tan|Orange,#55331A|#575B54|#A79E82|#F67405,13.5769,6.2929,4.8766,4.0899,3.6908,26.4703,5.1914
4,Dark Grey|Brown|Tan|Orange,#485259|#55331A|#A79E82|#F67405,14.4321,6.4062,4.8374,4.0027,3.6272,26.4761,5.2045
5,Brown|Tan|White|Orange,#55331A|#A79E82|#EBF7FF|#F67405,15.2430,6.7262,4.8682,3.6960,2.9718,18.4648,5.2111
6,Black|Dark Olive Drab|Tan|Orange,#080A0D|#575B54|#A79E82|#F67405,15.3569,6.6064,5.0427,4.2010,3.7743,26.0846,5.4037
7,Brown|Dark Olive Drab|Lime Green|Pink,#55331A|#575B54|#D5D701|#F1A1AF,17.0237,7.2587,4.9616,3.5573,2.8997,21.3095,5.4080
8,Brown|Grey|Tan|Red,#55331A|#8C9099|#A79E82|#E72F1D,15.8384,7.1237,5.1316,3.8660,3.1378,25.2784,5.4949
9,Brown|Grey|Tan|Orange,#55331A|#8C9099|#A79E82|#F67405,15.5007,7.0080,5.1243,3.9889,3.3811,26.5585,5.4984
10,Black|Tan|Red|Yellow,#080A0D|#A79E82|#E72F1D|#FFE800,21.4404,7.5225,5.0213,3.5671,2.8389,24.7744,5.5448
11,Brown|Tan|Pink|Yellow,#55331A|#A79E82|#F1A1AF|#FFE800,15.8645,7.1295,5.1882,3.9898,3.2747,21.4707,5.5596
12,Dark Grey|Brown|Lime Green|Pink,#485259|#55331A|#D5D701|#F1A1AF,18.2880,7.6531,5.0660,3.4706,2.7040,21.5623,5.5619
13,Brown|Tan|Lime Green|Pink,#55331A|#A79E82|#D5D701|#F1A1AF,15.9511,7.2219,5.2720,4.0355,3.2111,21.0800,5.6287
14,Brown|Tan|Red|White,#55331A|#A79E82|#E72F1D|#EBF7FF,15.6611,7.1137,5.2667,4.1723,3.5527,18.5717,5.6430
15,Black|Tan|Lime Green|Red,#080A0D|#A79E82|#D5D701|#E72F1D,21.7304,7.6830,5.1231,3.6233,2.9004,26.7304,5.6531
16,Brown|Dark Olive Drab|Pink|Yellow,#55331A|#575B54|#F1A1AF|#FFE800,16.7706,7.3603,5.2334,4.0229,3.4811,22.0457,5.6916
17,Black|Olive Green|Tan|Red,#080A0D|#948902|#A79E82|#E72F1D,21.6605,7.7489,5.1844,3.6630,2.8745,25.7373,5.7059
18,Black|Tan|Cold White|Orange,#080A0D|#A79E82|#D9DFE5|#F67405,21.0094,7.4443,5.2016,4.0079,3.4226,21.0764,5.7261
19,Brown|Grey|Lime Green|Pink,#55331A|#8C9099|#D5D701|#F1A1AF,18.5867,7.9469,5.2656,3.5180,2.4829,21.2270,5.7325
20,Black|Tan|White|Orange,#080A0D|#A79E82|#EBF7FF|#F67405,21.3238,7.5218,5.2017,4.0424,3.5669,22.4022,5.7821
21,Blue|Brown|Tan|Red,#003776|#55331A|#A79E82|#E72F1D,16.7570,7.5044,5.4254,4.2101,3.6453,26.0041,5.8572
22,Black|Brown|Tan|Red,#080A0D|#55331A|#A79E82|#E72F1D,16.7554,7.2539,5.4648,4.4789,3.9932,24.9074,5.8664
23,Black|Dark Grey|Tan|Orange,#080A0D|#485259|#A79E82|#F67405,17.3340,7.2432,5.4462,4.5209,4.1247,28.2199,5.8821
24,Brown|Dark Olive Drab|Tan|Magenta,#55331A|#575B54|#A79E82|#F24574,15.3031,7.3144,5.5423,4.4707,3.9389,23.7505,5.8925
25,Black|Tan|Cold White|Red,#080A0D|#A79E82|#D9DFE5|#E72F1D,21.1569,7.7774,5.4064,4.0084,3.2527,20.2533,5.8929
26,Brown|Lime Green|White|Pink,#55331A|#D5D701|#EBF7FF|#F1A1AF,18.5569,7.8979,5.4032,3.9149,3.1397,19.8932,5.9064
27,Azure Blue|Brown|Tan|Red,#0066D9|#55331A|#A79E82|#E72F1D,16.2971,7.5664,5.5213,4.2550,3.6452,26.3677,5.9107
28,Brown|White|Orange|Yellow,#55331A|#EBF7FF|#F67405|#FFE800,18.3110,7.9194,5.4500,3.9071,3.0569,19.4977,5.9133
29,Dark Grey|Brown|Tan|Magenta,#485259|#55331A|#A79E82|#F24574,15.7930,7.3503,5.5521,4.5073,4.0563,23.6383,5.9288
30,Polymaker Teal|Brown|Tan|Red,#4CC0C7|#55331A|#A79E82|#E72F1D,16.3660,7.7093,5.6137,4.2187,3.3304,25.6363,5.9640
31,Dark Grey|Brown|Pink|Yellow,#485259|#55331A|#F1A1AF|#FFE800,17.9348,7.7357,5.4403,4.1961,3.7608,22.0965,5.9659
32,Brown|Grey|Pink|Yellow,#55331A|#8C9099|#F1A1AF|#FFE800,18.1639,7.9465,5.5016,4.0070,3.2278,20.4831,5.9767
33,Black|Tan|Pink|Orange,#080A0D|#A79E82|#F1A1AF|#F67405,21.2060,7.6832,5.4292,4.2728,3.7990,27.4544,5.9780
34,Brown|Lime Green|White|Orange,#55331A|#D5D701|#EBF7FF|#F67405,18.5457,8.0679,5.5248,3.8896,2.9764,19.6444,5.9788
35,Green|Black|Tan|Red,#06924D|#080A0D|#A79E82|#E72F1D,21.5017,7.9709,5.4762,3.9946,3.2209,25.8700,5.9827
36,Black|Tan|Magenta|Yellow,#080A0D|#A79E82|#F24574|#FFE800,22.7459,8.1022,5.4184,3.9136,3.2159,24.8549,6.0079
37,Blue|Black|Tan|Red,#003776|#080A0D|#A79E82|#E72F1D,21.2787,7.9895,5.4975,4.0380,3.3555,25.9177,6.0137
38,Black|Tan|Lime Green|Magenta,#080A0D|#A79E82|#D5D701|#F24574,22.6902,8.1756,5.4554,3.8969,3.1017,25.6500,6.0363
39,Brown|Tan|Lime Green|Magenta,#55331A|#A79E82|#D5D701|#F24574,16.2618,7.6632,5.6828,4.4196,3.7163,25.0101,6.0414
40,Black|Brown|Tan|Orange,#080A0D|#55331A|#A79E82|#F67405,17.0148,7.3345,5.6637,4.7943,4.3895,26.3515,6.0644
41,Black|Grey|Tan|Red,#080A0D|#8C9099|#A79E82|#E72F1D,21.1610,7.9441,5.5439,4.1935,3.6442,25.5335,6.0688
42,Black|Polymaker Teal|Tan|Red,#080A0D|#4CC0C7|#A79E82|#E72F1D,21.3708,8.0475,5.6297,4.1702,3.3774,24.3131,6.1089
43,Brown|Tan|Cold White|Orange,#55331A|#A79E82|#D9DFE5|#F67405,15.3713,7.6143,5.8404,4.6199,3.7559,20.5939,6.1171
44,Black|Tan|Pink|Yellow,#080A0D|#A79E82|#F1A1AF|#FFE800,22.8534,8.0612,5.5675,4.1975,3.5823,22.1696,6.1294
45,Black|Tan|Red|White,#080A0D|#A79E82|#E72F1D|#EBF7FF,21.8638,8.0406,5.5671,4.2308,3.6641,21.5622,6.1357
46,Brown|Tan|White|Magenta,#55331A|#A79E82|#EBF7FF|#F24574,16.1160,7.6080,5.7884,4.6762,4.0226,19.1754,6.1421
47,Black|Grey|Tan|Orange,#080A0D|#8C9099|#A79E82|#F67405,20.1818,7.6988,5.6459,4.5986,4.1356,26.1977,6.1487
48,Black|Dark Olive Drab|Tan|Red,#080A0D|#575B54|#A79E82|#E72F1D,17.7971,7.6929,5.7383,4.6214,4.1540,27.8442,6.1572
49,Brown|Tan|Red|Pink,#55331A|#A79E82|#E72F1D|#F1A1AF,15.5477,7.5307,5.8217,4.7898,4.1195,22.7567,6.1602
50,Blue|Black|Tan|Orange,#003776|#080A0D|#A79E82|#F67405,21.0936,7.9231,5.6194,4.4278,3.9955,29.7104,6.1755
51,Black|Tan|Red|Pink,#080A0D|#A79E82|#E72F1D|#F1A1AF,21.5701,8.0138,5.6671,4.3796,3.8520,23.9200,6.1967
52,Azure Blue|Brown|Tan|Orange,#0066D9|#55331A|#A79E82|#F67405,16.3060,7.7557,5.7874,4.6568,4.1262,28.1190,6.2062
53,Blue|Brown|Tan|Orange,#003776|#55331A|#A79E82|#F67405,16.8482,7.7261,5.7688,4.6870,4.1755,27.7275,6.2066
54,Brown|Dark Olive Drab|Tan|Pink,#55331A|#575B54|#A79E82|#F1A1AF,14.9087,7.3265,5.8727,5.0884,4.7492,22.7990,6.2075
55,Brown|Olive Green|Tan|Pink,#55331A|#948902|#A79E82|#F1A1AF,16.6905,7.8068,5.8610,4.6091,3.7476,23.5570,6.2079
56,Black|Tan|Red|Magenta,#080A0D|#A79E82|#E72F1D|#F24574,21.5938,8.0853,5.6962,4.3310,3.6893,26.4063,6.2082
57,Brown|White|Pink|Yellow,#55331A|#EBF7FF|#F1A1AF|#FFE800,18.4173,8.0483,5.7044,4.3895,3.7382,19.6898,6.2189
58,Brown|Tan|Magenta|Yellow,#55331A|#A79E82|#F24574|#FFE800,16.1951,7.7215,5.8442,4.7265,4.1463,24.4719,6.2240
59,Brown|Tan|Cold White|Red,#55331A|#A79E82|#D9DFE5|#E72F1D,15.5442,7.6431,5.9186,4.8052,4.0194,19.1747,6.2242
60,Black|Tan|Orange|Yellow,#080A0D|#A79E82|#F67405|#FFE800,21.1295,7.8064,5.6986,4.6492,4.2121,26.3869,6.2278
61,Brown|Grey|Tan|Magenta,#55331A|#8C9099|#A79E82|#F24574,16.3959,7.7659,5.8630,4.6952,4.0225,23.9643,6.2306
62,Azure Blue|Black|Tan|Red,#0066D9|#080A0D|#A79E82|#E72F1D,21.4108,8.1687,5.7284,4.2964,3.6625,26.0422,6.2325
63,Dark Grey|Brown|Tan|Pink,#485259|#55331A|#A79E82|#F1A1AF,15.5290,7.4526,5.8678,5.0333,4.7502,22.7988,6.2430
